feedback_id,text,rating
417,Amazing onboarding experience.,4
418,Reports need more customization.,3
419,Solid customer service.,5
420,Loved the ease of use.,5
421,Interface is confusing at times.,2
422,Support team was helpful.,4
423,Feature set feels limited.,3
424,Great value for the price.,5
425,Performance could be better.,2
426,App crashes occasionally.,1
427,Amazing onboarding experience.,4
428,Reports need more customization.,3
429,Solid customer service.,5
430,Loved the ease of use.,5
431,Interface is confusing at times.,2
432,Support team was helpful.,4
433,Feature set feels limited.,3
434,Great value for the price.,5
435,Performance could be better.,2
436,App crashes occasionally.,1
437,Amazing onboarding experience.,4
438,Reports need more customization.,3
439,Solid customer service.,5
440,Loved the ease of use.,5
441,Interface is confusing at times.,2
442,Support team was helpful.,4
443,Feature set feels limited.,3
444,Great value for the price.,5
445,Performance could be better.,2
446,App crashes occasionally.,1
447,Amazing onboarding experience.,4
448,Reports need more customization.,3
449,Solid customer service.,5
450,Loved the ease of use.,5
451,Interface is confusing at times.,2
452,Support team was helpful.,4
453,Feature set feels limited.,3
454,Great value for the price.,5
455,Performance could be better.,2
456,App crashes occasionally.,1
457,Amazing onboarding experience.,4
458,Reports need more customization.,3
459,Solid customer service.,5
460,Loved the ease of use.,5
461,Interface is confusing at times.,2
462,Support team was helpful.,4
463,Feature set feels limited.,3
464,Great value for the price.,5
465,Performance could be better.,2
466,App crashes occasionally.,1
467,Amazing onboarding experience.,4
468,Reports need more customization.,3
469,Solid customer service.,5
470,Loved the ease of use.,5
471,Interface is confusing at times.,2
472,Support team was helpful.,4
473,Feature set feels limited.,3
474,Great value for the price.,5
475,Performance could be better.,2
476,App crashes occasionally.,1
477,Amazing onboarding experience.,4
478,Reports need more customization.,3
479,Solid customer service.,5
480,Loved the ease of use.,5
481,Interface is confusing at times.,2
482,Support team was helpful.,4
483,Feature set feels limited.,3
484,Great value for the price.,5
485,Performance could be better.,2
486,App crashes occasionally.,1
487,Amazing onboarding experience.,4
488,Reports need more customization.,3
489,Solid customer service.,5
490,Loved the ease of use.,5
491,Interface is confusing at times.,2
492,Support team was helpful.,4
493,Feature set feels limited.,3
494,Great value for the price.,5
495,Performance could be better.,2
496,App crashes occasionally.,1
497,Amazing onboarding experience.,4
498,Reports need more customization.,3
499,Solid customer service.,5
500,Loved the ease of use.,5
501,Interface is confusing at times.,2
502,Support team was helpful.,4
503,Feature set feels limited.,3
504,Great value for the price.,5
505,Performance could be better.,2
506,App crashes occasionally.,1
507,Amazing onboarding experience.,4
508,Reports need more customization.,3
509,Solid customer service.,5
510,Loved the ease of use.,5
511,Interface is confusing at times.,2
512,Support team was helpful.,4
513,Feature set feels limited.,3
514,Great value for the price.,5
515,Performance could be better.,2
516,App crashes occasionally.,1
517,Amazing onboarding experience.,4
518,Reports need more customization.,3
519,Solid customer service.,5
520,Loved the ease of use.,5
521,Interface is confusing at times.,2
522,Support team was helpful.,4
523,Feature set feels limited.,3
524,Great value for the price.,5
525,Performance could be better.,2
526,App crashes occasionally.,1
527,Amazing onboarding experience.,4
528,Reports need more customization.,3
529,Solid customer service.,5
530,Loved the ease of use.,5
531,Interface is confusing at times.,2
532,Support team was helpful.,4
533,Feature set feels limited.,3
534,Great value for the price.,5
535,Performance could be better.,2
536,App crashes occasionally.,1
537,Amazing onboarding experience.,4
538,Reports need more customization.,3
539,Solid customer service.,5
540,Loved the ease of use.,5
541,Interface is confusing at times.,2
542,Support team was helpful.,4
543,Feature set feels limited.,3
544,Great value for the price.,5
545,Performance could be better.,2
546,App crashes occasionally.,1
547,Amazing onboarding experience.,4
548,Reports need more customization.,3
549,Solid customer service.,5
550,Loved the ease of use.,5
551,Interface is confusing at times.,2
552,Support team was helpful.,4
553,Feature set feels limited.,3
554,Great value for the price.,5
555,Performance could be better.,2
556,App crashes occasionally.,1
557,Amazing onboarding experience.,4
558,Reports need more customization.,3
559,Solid customer service.,5
560,Loved the ease of use.,5
561,Interface is confusing at times.,2
562,Support team was helpful.,4
563,Feature set feels limited.,3
564,Great value for the price.,5
565,Performance could be better.,2
566,App crashes occasionally.,1
567,Amazing onboarding experience.,4
568,Reports need more customization.,3
569,Solid customer service.,5
570,Loved the ease of use.,5
571,Interface is confusing at times.,2
572,Support team was helpful.,4
573,Feature set feels limited.,3
574,Great value for the price.,5
575,Performance could be better.,2
576,App crashes occasionally.,1
577,Amazing onboarding experience.,4
578,Reports need more customization.,3
579,Solid customer service.,5
580,Loved the ease of use.,5
581,Interface is confusing at times.,2
582,Support team was helpful.,4
583,Feature set feels limited.,3
584,Great value for the price.,5
585,Performance could be better.,2
586,App crashes occasionally.,1
587,Amazing onboarding experience.,4
588,Reports need more customization.,3
589,Solid customer service.,5
590,Loved the ease of use.,5
591,Interface is confusing at times.,2
592,Support team was helpful.,4
593,Feature set feels limited.,3
594,Great value for the price.,5
595,Performance could be better.,2
596,App crashes occasionally.,1
597,Amazing onboarding experience.,4
598,Reports need more customization.,3
599,Solid customer service.,5
600,Loved the ease of use.,5
601,Interface is confusing at times.,2
602,Support team was helpful.,4
603,Feature set feels limited.,3
604,Great value for the price.,5
605,Performance could be better.,2
606,App crashes occasionally.,1
607,Amazing onboarding experience.,4
608,Reports need more customization.,3
609,Solid customer service.,5
610,Loved the ease of use.,5
611,Interface is confusing at times.,2
612,Support team was helpful.,4
613,Feature set feels limited.,3
614,Great value for the price.,5
615,Performance could be better.,2
616,App crashes occasionally.,1
617,Amazing onboarding experience.,4
618,Reports need more customization.,3
619,Solid customer service.,5
620,Loved the ease of use.,5
621,Interface is confusing at times.,2
622,Support team was helpful.,4
623,Feature set feels limited.,3
624,Great value for the price.,5
625,Performance could be better.,2
626,App crashes occasionally.,1
627,Amazing onboarding experience.,4
628,Reports need more customization.,3
629,Solid customer service.,5
630,Loved the ease of use.,5
631,Interface is confusing at times.,2
632,Support team was helpful.,4
633,Feature set feels limited.,3
634,Great value for the price.,5
635,Performance could be better.,2
636,App crashes occasionally.,1
637,Amazing onboarding experience.,4
638,Reports need more customization.,3
639,Solid customer service.,5
640,Loved the ease of use.,5
641,Interface is confusing at times.,2
642,Support team was helpful.,4
643,Feature set feels limited.,3
644,Great value for the price.,5
645,Performance could be better.,2
646,App crashes occasionally.,1
647,Amazing onboarding experience.,4
648,Reports need more customization.,3
649,Solid customer service.,5
650,Loved the ease of use.,5
651,Interface is confusing at times.,2
652,Support team was helpful.,4
653,Feature set feels limited.,3
654,Great value for the price.,5
655,Performance could be better.,2
656,App crashes occasionally.,1
657,Amazing onboarding experience.,4
658,Reports need more customization.,3
659,Solid customer service.,5
660,Loved the ease of use.,5
661,Interface is confusing at times.,2
662,Support team was helpful.,4
663,Feature set feels limited.,3
664,Great value for the price.,5
665,Performance could be better.,2
666,App crashes occasionally.,1
667,Amazing onboarding experience.,4
668,Reports need more customization.,3
669,Solid customer service.,5
670,Loved the ease of use.,5
671,Interface is confusing at times.,2
672,Support team was helpful.,4
673,Feature set feels limited.,3
674,Great value for the price.,5
675,Performance could be better.,2
676,App crashes occasionally.,1
677,Amazing onboarding experience.,4
678,Reports need more customization.,3
679,Solid customer service.,5
680,Loved the ease of use.,5
681,Interface is confusing at times.,2
682,Support team was helpful.,4
683,Feature set feels limited.,3
684,Great value for the price.,5
685,Performance could be better.,2
686,App crashes occasionally.,1
687,Amazing onboarding experience.,4
688,Reports need more customization.,3
689,Solid customer service.,5
690,Loved the ease of use.,5
691,Interface is confusing at times.,2
692,Support team was helpful.,4
693,Feature set feels limited.,3
694,Great value for the price.,5
695,Performance could be better.,2
696,App crashes occasionally.,1
697,Amazing onboarding experience.,4
698,Reports need more customization.,3
699,Solid customer service.,5
700,Loved the ease of use.,5
701,Interface is confusing at times.,2
702,Support team was helpful.,4
703,Feature set feels limited.,3
704,Great value for the price.,5
705,Performance could be better.,2
706,App crashes occasionally.,1
707,Amazing onboarding experience.,4
708,Reports need more customization.,3
709,Solid customer service.,5
710,Loved the ease of use.,5
711,Interface is confusing at times.,2
712,Support team was helpful.,4
713,Feature set feels limited.,3
714,Great value for the price.,5
715,Performance could be better.,2
716,App crashes occasionally.,1
717,Amazing onboarding experience.,4
718,Reports need more customization.,3
719,Solid customer service.,5
720,Loved the ease of use.,5
721,Interface is confusing at times.,2
722,Support team was helpful.,4
723,Feature set feels limited.,3
724,Great value for the price.,5
725,Performance could be better.,2
726,App crashes occasionally.,1
727,Amazing onboarding experience.,4
728,Reports need more customization.,3
729,Solid customer service.,5
730,Loved the ease of use.,5
731,Interface is confusing at times.,2
732,Support team was helpful.,4
733,Feature set feels limited.,3
734,Great value for the price.,5
735,Performance could be better.,2
736,App crashes occasionally.,1
737,Amazing onboarding experience.,4
738,Reports need more customization.,3
739,Solid customer service.,5
740,Loved the ease of use.,5
741,Interface is confusing at times.,2
742,Support team was helpful.,4
743,Feature set feels limited.,3
744,Great value for the price.,5
745,Performance could be better.,2
746,App crashes occasionally.,1
747,Amazing onboarding experience.,4
748,Reports need more customization.,3
749,Solid customer service.,5
750,Loved the ease of use.,5
751,Interface is confusing at times.,2
752,Support team was helpful.,4
753,Feature set feels limited.,3
754,Great value for the price.,5
755,Performance could be better.,2
756,App crashes occasionally.,1
757,Amazing onboarding experience.,4
758,Reports need more customization.,3
759,Solid customer service.,5
760,Loved the ease of use.,5
761,Interface is confusing at times.,2
762,Support team was helpful.,4
763,Feature set feels limited.,3
764,Great value for the price.,5
765,Performance could be better.,2
766,App crashes occasionally.,1
767,Amazing onboarding experience.,4
768,Reports need more customization.,3
769,Solid customer service.,5
770,Loved the ease of use.,5
771,Interface is confusing at times.,2
772,Support team was helpful.,4
773,Feature set feels limited.,3
774,Great value for the price.,5
775,Performance could be better.,2
776,App crashes occasionally.,1
777,Amazing onboarding experience.,4
778,Reports need more customization.,3
779,Solid customer service.,5
780,Loved the ease of use.,5
781,Interface is confusing at times.,2
782,Support team was helpful.,4
783,Feature set feels limited.,3
784,Great value for the price.,5
785,Performance could be better.,2
786,App crashes occasionally.,1
787,Amazing onboarding experience.,4
788,Reports need more customization.,3
789,Solid customer service.,5
790,Loved the ease of use.,5
791,Interface is confusing at times.,2
792,Support team was helpful.,4
793,Feature set feels limited.,3
794,Great value for the price.,5
795,Performance could be better.,2
796,App crashes occasionally.,1
797,Amazing onboarding experience.,4
798,Reports need more customization.,3
799,Solid customer service.,5
800,Loved the ease of use.,5
801,Interface is confusing at times.,2
802,Support team was helpful.,4
803,Feature set feels limited.,3
804,Great value for the price.,5
805,Performance could be better.,2
806,App crashes occasionally.,1
807,Amazing onboarding experience.,4
808,Reports need more customization.,3
809,Solid customer service.,5
810,Loved the ease of use.,5
811,Interface is confusing at times.,2
812,Support team was helpful.,4
813,Feature set feels limited.,3
814,Great value for the price.,5
815,Performance could be better.,2
816,App crashes occasionally.,1
817,Amazing onboarding experience.,4
818,Reports need more customization.,3
819,Solid customer service.,5
820,Loved the ease of use.,5
821,Interface is confusing at times.,2
822,Support team was helpful.,4
823,Feature set feels limited.,3
824,Great value for the price.,5
825,Performance could be better.,2
826,App crashes occasionally.,1
827,Amazing onboarding experience.,4
828,Reports need more customization.,3
829,Solid customer service.,5
830,Loved the ease of use.,5
831,Interface is confusing at times.,2
832,Support team was helpful.,4
833,Feature set feels limited.,3
834,Great value for the price.,5
835,Performance could be better.,2
836,App crashes occasionally.,1
837,Amazing onboarding experience.,4
838,Reports need more customization.,3
839,Solid customer service.,5
840,Loved the ease of use.,5
841,Interface is confusing at times.,2
842,Support team was helpful.,4
843,Feature set feels limited.,3
844,Great value for the price.,5
845,Performance could be better.,2
846,App crashes occasionally.,1
847,Amazing onboarding experience.,4
848,Reports need more customization.,3
849,Solid customer service.,5
850,Loved the ease of use.,5
851,Interface is confusing at times.,2
852,Support team was helpful.,4
853,Feature set feels limited.,3
854,Great value for the price.,5
855,Performance could be better.,2
856,App crashes occasionally.,1
857,Amazing onboarding experience.,4
858,Reports need more customization.,3
859,Solid customer service.,5
860,Loved the ease of use.,5
861,Interface is confusing at times.,2
862,Support team was helpful.,4
863,Feature set feels limited.,3
864,Great value for the price.,5
865,Performance could be better.,2
866,App crashes occasionally.,1
867,Amazing onboarding experience.,4
868,Reports need more customization.,3
869,Solid customer service.,5
870,Loved the ease of use.,5
871,Interface is confusing at times.,2
872,Support team was helpful.,4
873,Feature set feels limited.,3
874,Great value for the price.,5
875,Performance could be better.,2
876,App crashes occasionally.,1
877,Amazing onboarding experience.,4
878,Reports need more customization.,3
879,Solid customer service.,5
880,Loved the ease of use.,5
881,Interface is confusing at times.,2
882,Support team was helpful.,4
883,Feature set feels limited.,3
884,Great value for the price.,5
885,Performance could be better.,2
886,App crashes occasionally.,1
887,Amazing onboarding experience.,4
888,Reports need more customization.,3
889,Solid customer service.,5
890,Loved the ease of use.,5
891,Interface is confusing at times.,2
892,Support team was helpful.,4
893,Feature set feels limited.,3
894,Great value for the price.,5
895,Performance could be better.,2
896,App crashes occasionally.,1
897,Amazing onboarding experience.,4
898,Reports need more customization.,3
899,Solid customer service.,5
900,Loved the ease of use.,5
901,Interface is confusing at times.,2
902,Support team was helpful.,4
903,Feature set feels limited.,3
904,Great value for the price.,5
905,Performance could be better.,2
906,App crashes occasionally.,1
907,Amazing onboarding experience.,4
908,Reports need more customization.,3
909,Solid customer service.,5
910,Loved the ease of use.,5
911,Interface is confusing at times.,2
912,Support team was helpful.,4
913,Feature set feels limited.,3
914,Great value for the price.,5
915,Performance could be better.,2
916,App crashes occasionally.,1
917,Amazing onboarding experience.,4
918,Reports need more customization.,3
919,Solid customer service.,5
920,Loved the ease of use.,5
921,Interface is confusing at times.,2
922,Support team was helpful.,4
923,Feature set feels limited.,3
924,Great value for the price.,5
925,Performance could be better.,2
926,App crashes occasionally.,1
927,Amazing onboarding experience.,4
928,Reports need more customization.,3
929,Solid customer service.,5
930,Loved the ease of use.,5
931,Interface is confusing at times.,2
932,Support team was helpful.,4
933,Feature set feels limited.,3
934,Great value for the price.,5
935,Performance could be better.,2
936,App crashes occasionally.,1
937,Amazing onboarding experience.,4
938,Reports need more customization.,3
939,Solid customer service.,5
940,Loved the ease of use.,5
941,Interface is confusing at times.,2
942,Support team was helpful.,4
943,Feature set feels limited.,3
944,Great value for the price.,5
945,Performance could be better.,2
946,App crashes occasionally.,1
947,Amazing onboarding experience.,4
948,Reports need more customization.,3
949,Solid customer service.,5
950,Loved the ease of use.,5
951,Interface is confusing at times.,2
952,Support team was helpful.,4
953,Feature set feels limited.,3
954,Great value for the price.,5
955,Performance could be better.,2
956,App crashes occasionally.,1
957,Amazing onboarding experience.,4
958,Reports need more customization.,3
959,Solid customer service.,5
960,Loved the ease of use.,5
961,Interface is confusing at times.,2
962,Support team was helpful.,4
963,Feature set feels limited.,3
964,Great value for the price.,5
965,Performance could be better.,2
966,App crashes occasionally.,1
967,Amazing onboarding experience.,4
968,Reports need more customization.,3
969,Solid customer service.,5
970,Loved the ease of use.,5
971,Interface is confusing at times.,2
972,Support team was helpful.,4
973,Feature set feels limited.,3
974,Great value for the price.,5
975,Performance could be better.,2
976,App crashes occasionally.,1
977,Amazing onboarding experience.,4
978,Reports need more customization.,3
979,Solid customer service.,5
980,Loved the ease of use.,5
981,Interface is confusing at times.,2
982,Support team was helpful.,4
983,Feature set feels limited.,3
984,Great value for the price.,5
985,Performance could be better.,2
986,App crashes occasionally.,1
987,Amazing onboarding experience.,4
988,Reports need more customization.,3
989,Solid customer service.,5
990,Loved the ease of use.,5
991,Interface is confusing at times.,2
992,Support team was helpful.,4
993,Feature set feels limited.,3
994,Great value for the price.,5
995,Performance could be better.,2
996,App crashes occasionally.,1
997,Amazing onboarding experience.,4
998,Reports need more customization.,3
999,Solid customer service.,5
1000,Loved the ease of use.,5
